Name of Earth Meteorite,ID of Earth Meteorite,nametype,recclass,Mass of Earth Meteorite,Year at which Earth Meteorite was hit,reclat,reclong,point coordinates
Chisenga,5355,Valid,"Iron, IIIAB",3920.0,,-10.05944,33.395,"[33, -10]"
Chitado,5356,Valid,L6,,,-17.35,13.96667,"[13, -17]"
Chitenay,5357,Valid,L6,4000.0,,47.47083,0.97667,"[0, 47]"
Cilimus,5364,Valid,L5,1600.0,,-6.95,108.1,"[108, -6]"
Claxton,5374,Valid,L6,1455.0,,32.1025,-81.87278,"[-81, 32]"
Clohars,5383,Valid,L4,48.6,,,,
Colby (Wisconsin),5395,Valid,L6,104000.0,,44.9,-90.28333,"[-90, 44]"
Cold Bokkeveld,5397,Valid,CM2,5200.0,,-33.13333,19.38333,"[19, -33]"
Coleman,5401,Valid,L6,469.0,,43.76111,-84.50778,"[-84, 43]"
Collescipoli,5403,Valid,H5,5000.0,,42.53333,12.61667,"[12, 42]"
Conquista,5418,Valid,H4,20350.0,,-19.85,-47.55,"[-47, -19]"
Cosina,5451,Valid,H5,1200.0,,21.16667,-100.86667,"[-100, 21]"
Cranganore,5465,Valid,L6,1460.0,,10.2,76.26667,"[76, 10]"
Crescent,5470,Valid,CM2,78.4,,35.95,-97.58333,"[-97, 35]"
Cronstad,5474,Valid,H5,3650.0,,-27.7,27.3,"[27, -27]"
Cross Roads,5476,Valid,H5,167.0,,35.63333,-78.13333,"[-78, 35]"
Crumlin,5477,Valid,L5,4255.0,,54.61667,-6.21667,"[-6, 54]"
Cumberland Falls,5496,Valid,Aubrite,17000.0,,36.83333,-84.35,"[-84, 36]"
Cynthiana,5500,Valid,L/LL4,6000.0,,38.4,-84.25,"[-84, 38]"
Dahmani,5504,Valid,LL6,18000.0,,35.61667,8.83333,"[8, 35]"
Dandapur,5511,Valid,L6,5650.0,,26.91667,83.96667,"[83, 26]"
Daniel's Kuil,5513,Valid,EL6,1064.0,,-28.2,24.56667,"[24, -28]"
Danville,5514,Valid,L6,2000.0,,34.4,-87.06667,"[-87, 34]"
Darmstadt,6603,Valid,H5,100.0,,49.86667,8.65,"[8, 49]"
Dashoguz,6604,Valid,H5,7000.0,,41.98444,59.685,"[59, 41]"
Daule,51559,Valid,L5,6580.0,,-1.87089,-79.95756,"[-79, -1]"
De Cewsville,6621,Valid,H6,340.0,,43.0,-80.0,"[-80, 43]"
Deal,6634,Valid,L6,28.0,,40.25,-74.0,"[-74, 40]"
Delhi,6642,Valid,L5,0.8,,28.56667,77.25,"[77, 28]"
Demina,6649,Valid,L6,16400.0,,51.46667,84.76667,"[84, 51]"
